region,state,county,county2,poor_mental_health_days,poor_physical_health_days,poor_or_fair_health,adult_smoking,infant_mortality,high_school_graduation,premature_death,premature_ageadjusted_mortality,social_associations,homicide_rate,unemployment,low_birthweight,preventable_hospital_stays,children_in_singleparent_households,excessive_drinking,injury_deaths,mean_commute_minutes_x,children_in_poverty,diabetes,motor_vehicle_crash_deaths,severe_housing_problems
South,Georgia,Evans County,"Evans County, Georgia",,2.6,0,0.247,0,0,6362,334.8,12.837,0,0.048,0.09,76.14,0.273,0.091,113.7,16.1168,0.245,0.086,9.93,0.129
South,Georgia,Fannin County,"Fannin County, Georgia",,3,0.107,0.177,5.4,0.857,5452,278.8,9.118,2.7,0.079,0.07,61.41,0.325,0.19,54.4,21.7737,0.134,0.086,31.74,0.157
South,Georgia,"Fayette County, GA","Fayette County, GA, Georgia",,2.7,0.131,0.167,0,0.871,5335,251.1,12.611,0,0.073,0.07,49.79,0.238,0.232,53.5,24.579,0.121,0.086,10.07,0.209
South,Georgia,Floyd County,"Floyd County, Georgia",,3.2,0.157,0.147,6.9,0.865,6380,333.6,10.14,1.4,0.068,0.07,64.93,0.305,0.173,44.2,17.0527,0.185,0.086,21.34,0.189
South,Georgia,"Forsyth County, GA","Forsyth County, GA, Georgia",,2.7,0.089,0.114,4.1,0.895,4157,232.2,9.465,1.4,0.056,0.07,59.57,0.21,0.181,38.2,27.8198,0.106,0.086,0,0.102
South,Georgia,Franklin County,"Franklin County, Georgia",,2.7,0.11,0.295,8,0.591,8380,377.3,11.901,5.1,0.066,0.06,52.29,0.415,0.229,71.7,18.8475,0.273,0.086,18.38,0.169
South,Georgia,"Fulton County, GA","Fulton County, GA, Georgia",,0,0,0,0,0.841,6417,291.8,35.33,0,0.059,0.06,61.67,0.354,0,76.4,21.1343,0.164,0.086,18.34,0.163
South,Georgia,Gilmer County,"Gilmer County, Georgia",,2.8,0.125,0.167,0,0.784,5597,275.9,17.693,0,0.075,0.06,38.34,0.296,0.193,79.6,20.0445,0.21,0.086,20.08,0.176
South,Georgia,Glascock County,"Glascock County, Georgia",,2.6,0.081,0.21,0,0,6258,313.7,12.866,0,0.095,0.11,50.58,0.383,0.227,84.7,22.7575,0.244,0.086,26.95,0.197
South,Georgia,Glynn County,"Glynn County, Georgia",,2.5,0,0,0,0,0,0,39.216,0,0.023,0,0,0.236,0,0,20.9142,0.149,0.086,9.92,0.193
South,Georgia,Gordon County,"Gordon County, Georgia",,2.8,0.114,0.181,0,0.892,5405,283.6,24.734,0,0.037,0.06,70.73,0.21,0.176,53.9,13.0706,0.137,0.086,19.81,0.145
South,Georgia,Grady County,"Grady County, Georgia",,3,0.098,0.158,4.9,0.904,4955,265.6,9.099,1,0.057,0.07,57.45,0.204,0.197,52.6,28.149,0.067,0.086,13.68,0.183
South,Georgia,Greene County,"Greene County, Georgia",,3.1,0.121,0.161,4.2,0.873,4504,246.8,8.193,0.9,0.059,0.07,50.42,0.227,0.203,36.6,23.7213,0.097,0.086,18,0.209
South,Georgia,"Gwinnett County, GA","Gwinnett County, GA, Georgia",,2.8,0.142,0.138,7,0.761,5594,293,9.061,7.3,0.08,0.09,42.56,0.366,0.156,42.5,23.7221,0.205,0.086,31.51,0.185
